Year,geo,geo_long,avg_CO2_g_per_km,count_prem_deaths,units_CO2_equivalents,million_euros
2010,BE,Belgium,133.4,9832,133282.0629,558.0
2010,BG,Bulgaria,158.9,15912,47579.97454,0.0
2010,CZ,Czechia,148.9,11843,134001.1499,777.0
2010,DK,Denmark,126.2,2581,67185.28969,118.0
2010,DE,Germany,151.1,68687,929723.2983,5593.0
2010,EE,Estonia,162,443,15628.93393,52.0
2010,IE,Ireland,133.2,1008,70087.95274,0.0
2010,GR,Greece,143.7,,,
2010,ES,Spain,137.9,19186,310507.4206,1162.0
2010,FR,France,130.5,40501,466103.9205,5023.0
2010,HR,Croatia,NA,5435,21283.43227,527.0
2010,IT,Italy,132.7,52232,481781.1139,734.0
2010,CY,Cyprus,155.8,793,9281.41572,
2010,LV,Latvia,162,2043,9845.22326,
2010,LT,Lithuania,150.9,3156,10408.58566,0.0
2010,LU,Luxembourg,146,277,11953.6455,32.0
2010,HU,Hungary,147.4,13705,61701.81033,557.0
2010,MT,Malta,131.2,188,2973.53111,
2010,NL,Netherlands,135.8,11890,219790.248,0.0
2010,AT,Austria,144,6733,64934.19371,0.0
2010,PL,Poland,146.2,52629,374842.5334,3160.0
2010,PT,Portugal,127.2,4074,63133.54915,1441.0
2010,RO,Romania,148.5,21918,89434.38037,1345.0
2010,SI,Slovenia,144.4,1712,12631.15331,251.0
2010,SK,Slovakia,149,5877,40603.08758,43.0
2010,FI,Finland,149,1005,49599.35215,145.0
2010,SE,Sweden,151.3,2084,14087.65392,
2010,UK,United Kingdom,144.2,,,
2011,BE,Belgium,127.2,9063,122901.6413,91.0
2011,BG,Bulgaria,151.4,20002,56282.53735,
2011,CZ,Czechia,144.5,11173,132016.4143,
2011,DK,Denmark,125,3386,61434.93941,913.0
2011,DE,Germany,145.6,64474,898693.0874,826.0
2011,EE,Estonia,156.9,347,15879.53701,
2011,IE,Ireland,128.3,771,65029.04575,293.0
2011,GR,Greece,132.7,,,
2011,ES,Spain,133.8,20910,311071.3226,1550.0
2011,FR,France,127.7,40021,439246.7932,1702.0
2011,HR,Croatia,NA,5900,22250.53097,
2011,IT,Italy,129.6,66469,476476.1597,2559.0
2011,CY,Cyprus,149.9,931,8933.52148,
2011,LV,Latvia,154.4,1424,8648.15596,
2011,LT,Lithuania,144.4,2573,10572.34049,
2011,LU,Luxembourg,142.2,237,11742.31474,
2011,HU,Hungary,141.6,16357,60689.22137,40.0
2011,MT,Malta,124.7,243,2959.08786,1.0
2011,NL,Netherlands,126.1,11669,206031.2823,12.0
2011,AT,Austria,138.7,6715,67145.81289,
2011,PL,Poland,144.5,50089,367971.023,0.0
2011,PT,Portugal,122.8,4876,65167.22504,
2011,RO,Romania,140.7,29334,95363.40457,
2011,SI,Slovenia,139.7,1955,12648.31462,
2011,SK,Slovakia,144.9,6767,39333.86236,
2011,FI,Finland,144,958,42580.87467,149.0
2011,SE,Sweden,141.8,2672,8844.01326,
2011,UK,United Kingdom,138,,,
2012,BE,Belgium,128,8136,120167.3619,
2012,BG,Bulgaria,149.2,16029,51727.07568,21.0
2012,CZ,Czechia,140.8,10216,127839.8919,45.0
2012,DK,Denmark,117,1916,56419.12918,
2012,DE,Germany,141.6,51701,895880.9561,149.0
2012,EE,Estonia,150.3,325,16403.89439,
2012,IE,Ireland,125.1,638,65426.1358,
2012,GR,Greece,121.1,,,
2012,ES,Spain,128.7,20383,306463.849,347.0
2012,FR,France,124.4,36658,436668.2337,1595.0
2012,HR,Croatia,NA,4254,20932.2286,160.0
2012,IT,Italy,126.2,60447,467036.0029,16321.0
2012,CY,Cyprus,144.3,1069,8407.59523,
2012,LV,Latvia,152,1525,7108.16705,
