Year,geo,geo_long,avg_CO2_g_per_km
2010,BE,Belgium,133.4
2010,BG,Bulgaria,158.9
2010,CZ,Czechia,148.9
2010,DK,Denmark,126.2
2010,DE,Germany,151.1
2010,EE,Estonia,162
2010,IE,Ireland,133.2
2010,GR,Greece,143.7
2010,ES,Spain,137.9
2010,FR,France,130.5
2010,HR,Croatia,NA
2010,IT,Italy,132.7
2010,CY,Cyprus,155.8
2010,LV,Latvia,162
2010,LT,Lithuania,150.9
2010,LU,Luxembourg,146
2010,HU,Hungary,147.4
2010,MT,Malta,131.2
2010,NL,Netherlands,135.8
2010,AT,Austria,144
2010,PL,Poland,146.2
2010,PT,Portugal,127.2
2010,RO,Romania,148.5
2010,SI,Slovenia,144.4
2010,SK,Slovakia,149
2010,FI,Finland,149
2010,SE,Sweden,151.3
2010,UK,United Kingdom,144.2
2011,BE,Belgium,127.2
2011,BG,Bulgaria,151.4
2011,CZ,Czechia,144.5
2011,DK,Denmark,125
2011,DE,Germany,145.6
2011,EE,Estonia,156.9
2011,IE,Ireland,128.3
2011,GR,Greece,132.7
2011,ES,Spain,133.8
2011,FR,France,127.7
2011,HR,Croatia,NA
2011,IT,Italy,129.6
2011,CY,Cyprus,149.9
2011,LV,Latvia,154.4
2011,LT,Lithuania,144.4
2011,LU,Luxembourg,142.2
2011,HU,Hungary,141.6
2011,MT,Malta,124.7
2011,NL,Netherlands,126.1
2011,AT,Austria,138.7
2011,PL,Poland,144.5
2011,PT,Portugal,122.8
2011,RO,Romania,140.7
2011,SI,Slovenia,139.7
2011,SK,Slovakia,144.9
2011,FI,Finland,144
2011,SE,Sweden,141.8
2011,UK,United Kingdom,138
2012,BE,Belgium,128
2012,BG,Bulgaria,149.2
2012,CZ,Czechia,140.8
2012,DK,Denmark,117
2012,DE,Germany,141.6
2012,EE,Estonia,150.3
2012,IE,Ireland,125.1
2012,GR,Greece,121.1
2012,ES,Spain,128.7
2012,FR,France,124.4
2012,HR,Croatia,NA
2012,IT,Italy,126.2
2012,CY,Cyprus,144.3
2012,LV,Latvia,152
2012,LT,Lithuania,144.2
2012,LU,Luxembourg,137
2012,HU,Hungary,140.8
2012,MT,Malta,121.5
