Data extracted on 02/01/2024 16:06:04 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Population by educational attainment level, sex, age, citizenship and NUTS 2 regions (%) [edat_lfs_9918__custom_9174145];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;14/09/2023 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Less than primary, primary and lower secondary education (levels 0-2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country of citizenship;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 15 to 64 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);35,9;;34,9;;34,4;;33,7;;32,9;;32,4;;31,7;;30,5;;29,8;;28,8;;28,4;b;27,9;;27,4;;26,9;;26,3;;25,7;;25,1;;25,1;b;24,9;
Euro area – 20 countries (from 2023);38,9;;37,9;;37,4;;36,6;;35,8;;35,2;;34,5;;33,2;;32,4;;31,3;;30,7;b;30,2;;29,7;;29,2;;28,6;;27,9;;27,2;;27,3;b;27,2;
Belgium;38,7;;36,3;;35,7;;34,8;;33,6;b;32,4;;32,6;;31,9;;31,4;;30,4;;29,5;b;28,7;;28,2;;27,2;b;26,3;;25,9;;25,0;;22,7;b;21,7;
Bulgaria;34,3;;33,4;;30,6;b;28,7;;28,3;;27,6;;25,1;b;24,0;b;23,0;;22,1;;22,6;b;22,2;;21,9;;21,4;;21,5;;21,9;;21,5;;20,8;b;20,0;
Czechia;18,0;;16,8;;16,4;;16,2;;15,8;;15,2;;14,4;;13,9;b;13,4;;12,9;;12,4;b;12,4;;12,4;;12,1;;12,1;;12,3;;12,3;;12,0;b;12,3;
Denmark;25,5;;25,7;;25,4;;32,3;b;33,2;b;32,4;;32,1;;30,9;;30,1;;29,9;;28,7;b;27,9;;27,3;b;26,7;b;26,5;;26,0;;25,9;;25,3;b;25,8;
Germany;23,6;;24,8;b;24,6;;23,5;;22,3;;22,0;;21,0;b;18,1;;17,9;;17,7;;19,7;b;19,8;;19,8;;19,8;;19,6;;19,5;;20,0;b;22,0;b;23,0;
Estonia;20,4;;19,9;;20,6;;20,0;;20,4;;19,2;;18,2;;17,7;;16,8;;15,8;;17,7;b;18,3;;17,3;;17,7;;17,9;;17,1;;16,8;;16,7;b;16,9;
Ireland;38,5;;37,0;;35,5;;33,1;b;31,8;;30,7;;29,9;;29,1;;28,2;;26,6;;24,0;b;23,5;;23,0;;21,8;b;21,5;;21,0;;19,6;;17,7;b;17,5;
Greece;41,5;;40,0;;41,4;;40,8;;39,7;;39,6;b;38,5;;37,1;;35,9;;34,5;;33,1;b;31,5;;30,0;;29,3;;28,7;;25,9;;24,3;;23,5;b;22,7;
Spain;54,6;;51,7;b;50,9;;50,1;;49,8;;49,5;;48,1;;47,0;;46,4;;45,6;;44,5;b;43,5;;42,6;;41,8;;40,8;;39,6;;38,2;;37,9;b;37,7;
France;36,8;;35,5;;35,0;;34,0;;33,0;;32,4;;31,9;;31,2;;30,4;;28,0;b;26,5;b;25,9;;25,5;;25,2;;24,4;;23,4;;22,3;;22,1;b;21,3;
Croatia;30,4;;29,3;;28,3;;26,7;;25,9;;25,3;;25,4;b;24,6;;23,1;;22,4;;21,0;b;20,4;;20,6;;19,9;;18,7;;18,1;;17,5;;17,0;b;16,1;
Italy;52,4;;50,6;;49,5;;48,7;;47,9;;47,1;;46,3;;45,5;;44,2;;43,4;;42,3;b;41,9;;41,6;;40,9;;40,3;;39,8;;39,0;;39,2;b;38,8;
Cyprus;39,2;;36,2;;33,6;;31,1;;30,4;;31,2;b;29,6;;28,3;;26,4;;25,4;;26,1;b;25,5;;24,0;;22,9;;21,9;;21,5;;21,0;;19,7;b;18,9;
Latvia;25,7;;24,6;;24,6;;24,0;;22,8;;21,5;;19,5;;19,5;;17,4;;16,6;;16,1;b;15,6;;14,9;;15,2;;15,3;;14,9;;14,6;;14,2;b;14,9;
Lithuania;21,7;;20,8;;20,7;;19,9;;18,5;;18,0;;17,1;;15,9;;15,0;;14,4;;14,2;b;13,8;;12,4;;12,0;;11,7;;11,1;;10,8;;10,9;b;11,3;
Luxembourg;40,3;;38,7;;39,3;;38,7;b;36,8;;28,5;b;28,9;;29,1;;28,4;;26,1;;24,9;b;30,3;b;28,2;u;30,5;u;27,6;;26,7;;27,2;;25,1;b;24,2;
Hungary;29,7;;28,5;;27,3;;26,3;;25,8;;25,0;;24,4;;24,3;;23,5;;22,8;;22,0;b;21,9;;21,8;;21,1;;20,2;;20,0;;19,7;;19,2;b;18,7;
Malta;74,2;d;68,9;b;67,5;;67,3;;65,1;;62,0;;59,6;;57,8;b;55,8;;53,2;;50,8;b;48,9;;46,3;;44,2;;41,0;;38,8;;37,0;;34,0;b;33,1;
Netherlands;33,7;;34,5;b;33,7;;32,8;;32,8;;32,6;;31,8;;31,6;b;30,8;;29,0;b;28,8;b;28,4;;27,9;;26,6;;26,0;;25,5;b;24,0;;23,6;b;23,0;
Austria;25,1;;24,5;;25,0;b;25,4;;24,6;;23,8;;23,2;;23,1;;22,4;;22,2;;20,3;b;19,6;;19,6;;19,3;;18,9;;18,7;;18,7;;18,5;b;18,6;
Poland;23,5;;21,8;;21,0;;20,4;;19,6;;18,7;;18,0;b;17,5;;16,7;;16,1;;15,5;b;15,2;;14,6;;13,9;;13,5;;13,3;;12,9;;13,0;b;12,9;
Portugal;73,7;;72,7;;71,7;;71,4;;70,8;;69,2;;67,3;;64,2;b;61,6;;59,4;;56,3;b;54,4;;52,9;;51,7;;49,8;;47,6;;44,5;;40,3;b;39,6;
Romania;35,0;;33,3;;32,1;;30,9;;30,2;;30,2;;30,6;b;30,0;;29,2;;28,9;;31,2;b;29,4;;28,0;;27,0;;26,3;;25,1;;23,7;;21,6;b;20,7;
Slovenia;25,4;;24,0;;22,8;;22,2;;21,9;;20,8;;20,9;;19,7;;19,0;;18,5;;18,4;b;17,4;;17,2;;16,7;;16,4;;15,8;;14,5;;13,3;b;13,8;
Slovakia;21,3;;20,0;;18,9;;18,4;;17,6;;16,5;;16,3;;15,7;b;15,0;;14,7;;15,2;b;14,6;;14,3;;14,8;;14,4;;14,5;;13,5;;13,2;b;12,8;
Finland;27,7;;27,0;;26,2;;25,4;;25,1;;24,4;;23,6;;22,9;;21,8;;20,8;;20,1;b;19,2;;18,6;;18,4;;17,7;;16,9;;15,9;;18,2;b;18,1;
Sweden;21,5;;21,3;b;26,9;b;26,5;;26,2;;25,4;;25,0;;24,4;;23,8;;22,9;;22,1;b;21,6;;21,1;;21,1;;20,9;b;20,8;;20,7;;20,1;b;19,5;
Iceland;45,4;;43,7;;43,8;u;42,8;;42,5;;41,2;;40,6;;36,9;;36,5;;35,2;;33,6;b;32,5;;29,2;;29,7;;29,0;;27,6;;27,6;b;24,8;b;25,3;
Norway;17,2;;16,7;;29,3;b;29,3;;27,2;;26,1;;25,7;;25,4;;24,5;;23,6;;24,6;b;24,3;;24,9;;24,9;;23,9;;23,7;;23,5;;24,7;b;25,0;
Switzerland;24,1;;23,7;;21,9;;21,1;;20,4;;20,5;;21,3;b;21,4;;20,4;;19,6;;18,7;b;18,5;;18,2;;17,8;;17,2;;16,5;;16,2;;17,4;b;18,5;
