Data extracted on 02/01/2024 16:06:04 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Population by educational attainment level, sex, age, citizenship and NUTS 2 regions (%) [edat_lfs_9918__custom_9174145];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;14/09/2023 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
International Standard Classification of Education (ISCED 2011);;Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Percentage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sex;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country of citizenship;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Age class;;From 15 to 64 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);64,1;;65,1;;65,6;;66,3;;67,1;;67,6;;68,3;;69,5;;70,2;;71,2;;71,6;b;72,1;;72,6;;73,1;;73,7;;74,3;;74,9;;74,9;b;75,1;
Euro area – 20 countries (from 2023);61,1;;62,1;;62,6;;63,4;;64,2;;64,8;;65,5;;66,8;;67,6;;68,7;;69,3;b;69,8;;70,3;;70,8;;71,4;;72,1;;72,8;;72,7;b;72,8;
Belgium;61,3;;63,7;;64,3;;65,2;;66,4;b;67,6;;67,4;;68,1;;68,6;;69,6;;70,5;b;71,3;;71,8;;72,8;b;73,7;;74,1;;75,0;;77,3;b;78,3;
Bulgaria;65,7;;66,6;;69,4;b;71,3;;71,7;;72,4;;74,9;b;76,0;b;77,0;;77,9;;77,4;b;77,8;;78,1;;78,6;;78,5;;78,1;;78,5;;79,2;b;80,0;
Czechia;82,0;;83,2;;83,6;;83,8;;84,2;;84,8;;85,6;;86,1;b;86,6;;87,1;;87,6;b;87,6;;87,6;;87,9;;87,9;;87,7;;87,7;;88,0;b;87,7;
Denmark;74,5;;74,3;;74,6;;67,7;b;66,8;b;67,6;;67,9;;69,1;;69,9;;70,1;;71,3;b;72,1;;72,7;b;73,3;b;73,5;;74,0;;74,1;;74,7;b;74,2;
Germany;76,4;;75,2;b;75,4;;76,5;;77,7;;78,0;;79,0;b;81,9;;82,1;;82,3;;80,3;b;80,2;;80,2;;80,2;;80,4;;80,5;;80,0;b;78,0;b;77,0;
Estonia;79,6;;80,1;;79,4;;80,0;;79,6;;80,8;;81,8;;82,3;;83,2;;84,2;;82,3;b;81,7;;82,7;;82,3;;82,1;;82,9;;83,2;;83,3;b;83,1;
Ireland;61,5;;63,0;;64,5;;66,9;b;68,2;;69,3;;70,1;;70,9;;71,8;;73,4;;76,0;b;76,5;;77,0;;78,2;b;78,5;;79,0;;80,4;;82,3;b;82,5;
Greece;58,5;;60,0;;58,6;;59,2;;60,3;;60,4;b;61,5;;62,9;;64,1;;65,5;;66,9;b;68,5;;70,0;;70,7;;71,3;;74,1;;75,7;;76,5;b;77,3;
Spain;45,4;;48,3;b;49,1;;49,9;;50,2;;50,5;;51,9;;53,0;;53,6;;54,4;;55,5;b;56,5;;57,4;;58,2;;59,2;;60,4;;61,8;;62,1;b;62,3;
France;63,2;;64,5;;65,0;;66,0;;67,0;;67,6;;68,1;;68,8;;69,6;;72,0;b;73,5;b;74,1;;74,5;;74,8;;75,6;;76,6;;77,7;;77,9;b;78,7;
Croatia;69,6;;70,7;;71,7;;73,3;;74,1;;74,7;;74,6;b;75,4;;76,9;;77,6;;79,0;b;79,6;;79,4;;80,1;;81,3;;81,9;;82,5;;83,0;b;83,9;
Italy;47,6;;49,4;;50,5;;51,3;;52,1;;52,9;;53,7;;54,5;;55,8;;56,6;;57,7;b;58,1;;58,4;;59,1;;59,7;;60,2;;61,0;;60,8;b;61,2;
Cyprus;60,8;;63,8;;66,4;;68,9;;69,6;;68,8;b;70,4;;71,7;;73,6;;74,6;;73,9;b;74,5;;76,0;;77,1;;78,1;;78,5;;79,0;;80,3;b;81,1;
Latvia;74,3;;75,4;;75,4;;76,0;;77,2;;78,5;;80,5;;80,5;;82,6;;83,4;;83,9;b;84,4;;85,1;;84,8;;84,7;;85,1;;85,4;;85,8;b;85,1;
Lithuania;78,3;;79,2;;79,3;;80,1;;81,5;;82,0;;82,9;;84,1;;85,0;;85,6;;85,8;b;86,2;;87,6;;88,0;;88,3;;88,9;;89,2;;89,1;b;88,7;
Luxembourg;59,7;;61,3;;60,7;;61,3;b;63,2;;71,5;b;71,1;;70,9;;71,6;;73,9;;75,1;b;69,7;b;71,8;u;69,5;u;72,4;;73,3;;72,8;;74,9;b;75,8;
Hungary;70,3;;71,5;;72,7;;73,7;;74,2;;75,0;;75,6;;75,7;;76,5;;77,2;;78,0;b;78,1;;78,2;;78,9;;79,8;;80,0;;80,3;;80,8;b;81,3;
Malta;25,8;d;31,1;b;32,5;;32,7;;34,9;;38,0;;40,4;;42,2;b;44,2;;46,8;;49,2;b;51,1;;53,7;;55,8;;59,0;;61,2;;63,0;;66,0;b;66,9;
Netherlands;66,3;;65,5;b;66,3;;67,2;;67,2;;67,4;;68,2;;68,4;b;69,2;;71,0;b;71,2;b;71,6;;72,1;;73,4;;74,0;;74,5;b;76,0;;76,4;b;77,0;
Austria;74,9;;75,5;;75,0;b;74,6;;75,4;;76,2;;76,8;;76,9;;77,6;;77,8;;79,7;b;80,4;;80,4;;80,7;;81,1;;81,3;;81,3;;81,5;b;81,4;
