freq,indic_env,wst_oper,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,CAP,DSP_I,AT	2509116 	1666130 	1551000 	1872000 	100000 	100000 	100000 	100000 	: c
A,CAP,DSP_I,AT1	1196600 	880000 	1150000 	1476000 	100000 	100000 	100000 	100000 	: c
A,CAP,DSP_I,AT11	: c	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT12	: c	300000 	430000 	680000 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT13	836500 	580000 	720000 	796000 	100000 	100000 	100000 	100000 	: c
A,CAP,DSP_I,AT2	374116 	181130 	96000 	96000 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT21	149950 	80000 	96000 	96000 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT22	224166 	101130 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT3	938400 	605000 	305000 	300000 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT31	868400 	605000 	305000 	300000 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT32	: c	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT33	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,AT34	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,BE	3191404 	3499010 	4083836 	3512336 	2023779 e	2030865 	1976955 e	1037947 	947936 
A,CAP,DSP_I,BE1	530000 	535000 	571500 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,BE10	: c	535000 	571500 	0 	0 	0 	0 	0 	0 
A,CAP,DSP_I,BE2	1706636 	1994860 	2543186 	2543186 	1054629 	1061715 	1007805 	970537 	930436 
A,CAP,DSP_I,BE21	330302 	283500 	344211 	344211 	175955 	194815 	157069 	162817 	172284 
A,CAP,DSP_I,BE22	132602 	78000 	140713 	140713 	53200 	36100 	28500 	17100 	17100 
A,CAP,DSP_I,BE23	679373 	1197860 	1438328 	1438328 	653379 	648009 	668076 	667114 	624630 
A,CAP,DSP_I,BE24	26986 	12500 	77221 	77221 	10732 	9500 	7600 	7600 	7600 
A,CAP,DSP_I,BE25	537373 	423000 	542713 	542713 	161363 	173291 	146560 	115906 	108822 
A,CAP,DSP_I,BE3	954768 	969150 	969150 	969150 	969150 e	969150 e	969150 e	67410 	17500 
A,CAP,DSP_I,BE31	86158 	110303 	110303 	110303 	110303 e	110303 e	110303 e	0 	0 
A,CAP,DSP_I,BE32	614458 	605241 	605241 	605241 	605241 e	605241 e	605241 e	50354 	444 
A,CAP,DSP_I,BE33	240952 	245606 	245606 	245606 	245606 e	245606 e	245606 e	208 	208 
A,CAP,DSP_I,BE34	: 	0 	0 	0 	0 e	0 e	0 e	0 	0 
A,CAP,DSP_I,BE35	13200 	8000 	8000 	8000 	8000 e	8000 e	8000 e	16848 	16848 
A,CAP,DSP_I,BG	45846 	52519 	28375 	28340 	: 	28556 	28470 	28470 	28470 
A,CAP,DSP_I,BG1	471 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG11	16 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG12	165 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG13	291 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG2	45375 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG21	990 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG22	340 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG23	44045 	: 	: 	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,BG3	: 	51816 	25835 	25060 	: 	26056 	25000 	25000 	25000 
A,CAP,DSP_I,BG31	: 	592 	739 	0 	: 	0 	0 	0 	0 
A,CAP,DSP_I,BG32	: 	89 	72 	20 	: 	316 	0 	0 	0 
A,CAP,DSP_I,BG33	: 	296 	24 	40 	: 	740 	0 	0 	0 
A,CAP,DSP_I,BG34	: 	50839 	25000 	25000 	: 	25000 	25000 	25000 	25000 
A,CAP,DSP_I,BG4	: 	703 	2540 	3280 	: 	2500 	3470 	3470 	3470 
A,CAP,DSP_I,BG41	: 	698 	2540 	3280 	: 	2500 	2500 	2500 	2500 
A,CAP,DSP_I,BG42	: 	5 	0 	0 	: 	0 	970 	970 	970 
A,CAP,DSP_I,CY	: 	0 	: c	7300 	8000 e	5840 	0 	0 	0 
A,CAP,DSP_I,CY0	: 	: 	: 	7300 	8000 e	5840 	0 	0 	0 
A,CAP,DSP_I,CY00	: 	: 	: 	7300 	8000 e	5840 	0 	0 	0 
A,CAP,DSP_I,CZ	774364 	775108 	86268 	160273 	171105 	177730 	115850 	115100 	170684 
A,CAP,DSP_I,CZ0	: 	: 	: 	160273 	171105 	177730 	115850 	115100 	170684 
A,CAP,DSP_I,CZ01	1300 	3360 	6020 	3360 	6880 	2940 	2940 	2940 	2940 
A,CAP,DSP_I,CZ02	19980 	15700 	15700 	15700 	21000 	17000 	13500 	13500 	25000 
A,CAP,DSP_I,CZ03	: 	0 	1500 	4000 	6500 	4000 	4000 	4000 	4900 
A,CAP,DSP_I,CZ04	709000 	709000 	18000 	: c	44000 	75500 	61900 	61900 	21000 
A,CAP,DSP_I,CZ05	18390 	17450 	17150 	5665 	4665 	44500 	4800 	4800 	63850 
A,CAP,DSP_I,CZ06	3407 	4098 	4098 	5948 	5710 	4210 	3860 	3110 	3544 
A,CAP,DSP_I,CZ07	9487 	11100 	11000 	100000 	70750 	19580 	14850 	14850 	24450 
A,CAP,DSP_I,CZ08	12800 	14400 	12800 	: c	11600 	10000 	10000 	10000 	25000 
A,CAP,DSP_I,DE	18420002 	18142217 	16797254 	16479235 	15032621 	11166768 	7149543 	4221772 	4274080 
A,CAP,DSP_I,DE1	1543450 	875690 	383457 	386075 	93050 	: c	: c	: c	: c
A,CAP,DSP_I,DE11	596900 	512640 	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE12	657550 	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE13	: c	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE14	: c	: c	: c	: c	0 	0 	0 	0 	0 
A,CAP,DSP_I,DE2	4926238 	4786905 	3638525 	3926383 	3495554 	1707001 	797309 	794585 	644590 
A,CAP,DSP_I,DE21	2941925 	2615310 	1958084 	2168419 	1986323 	1010037 	607721 	607721 	597726 
A,CAP,DSP_I,DE22	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE23	: c	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE24	: c	: c	: c	: c	0 	0 	: c	: c	0 
A,CAP,DSP_I,DE25	258220 	220364 	232364 	227564 	230364 	: c	: c	: c	: c
A,CAP,DSP_I,DE26	359056 	: c	: c	: c	: c	0 	0 	0 	0 
A,CAP,DSP_I,DE27	617537 	538731 	533000 	560600 	592200 	460600 	: c	: c	: c
A,CAP,DSP_I,DE3	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE30	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,CAP,DSP_I,DE4	161682 	165200 	130650 	121090 	117500 	119500 	119500 	119500 	115500 
A,CAP,DSP_I,DE40	: 	: 	: 	121090 	117500 	119500 	119500 	119500 	115500 
A,CAP,DSP_I,DE41	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,DE42	: c	: c	: c	: 	: 	: 	: 	: 	: 
A,CAP,DSP_I,DE5	1278600 	: c	: c	: c	: c	0 	0 	0 	0 
