freq,wst_oper,stk_flow,unit,geo\TIME_PERIOD	2010 	2012 	2014 	2016 	2018 	2020 
A,DSP_I,BAL_TRD,T,AT	-4301 	-1543 	-1862 	21728 	8933 	-27756 
A,DSP_I,BAL_TRD,T,BE	-3423 	-19027 	-38549 	218424 	-3296 	-13203 
A,DSP_I,BAL_TRD,T,BG	-26 	-27 	-59 	-511 	-57 	: 
A,DSP_I,BAL_TRD,T,CY	0 	0 	0 	193 	20 	17 
A,DSP_I,BAL_TRD,T,CZ	-66 	-191 	-21 	-673 	1826 	-132258 
A,DSP_I,BAL_TRD,T,DE	-32799 s	-70269 s	-120106 s	-45997 s	16282 s	38079 s
A,DSP_I,BAL_TRD,T,DK	0 	0 	5354 	0 	7569 	6113 
A,DSP_I,BAL_TRD,T,EE	22 	-2 	-8 	192 	: 	: 
A,DSP_I,BAL_TRD,T,EL	: 	: 	: 	: 	-6 	: 
A,DSP_I,BAL_TRD,T,ES	-318 	1942 	-19 	879 	-1772 	12443 
A,DSP_I,BAL_TRD,T,EU27_2020	-350000 	-160000 	-340000 	-1300000 	-90000 	-140000 
A,DSP_I,BAL_TRD,T,FI	0 	0 	0 	966 	1225 	465 
A,DSP_I,BAL_TRD,T,FR	-242846 	-5027 	-44547 	-22915 	-36885 	-30871 
A,DSP_I,BAL_TRD,T,HR	2979 	0 	0 	12174 	9946 	2021 
A,DSP_I,BAL_TRD,T,HU	-1473 	-254 	-140 	0 	196 	-460 
A,DSP_I,BAL_TRD,T,IE	-2955 	-4010 	-72 	14129 s	3526 	: 
A,DSP_I,BAL_TRD,T,IT	116133 s	132773 s	93421 s	112916 s	330105 s	350282 s
A,DSP_I,BAL_TRD,T,LT	75 	6087 	-36 	801 	670 	: 
A,DSP_I,BAL_TRD,T,LU	10 	15 	0 	4906 	2761 	4290 
A,DSP_I,BAL_TRD,T,LV	: 	: 	: 	: 	-496 	-337 
A,DSP_I,BAL_TRD,T,MT	1382 	697 	875 	563 	1054 	3013 
A,DSP_I,BAL_TRD,T,NL	144350 	5041 	-7010 	-13991 	-148706 	-44751 
A,DSP_I,BAL_TRD,T,PL	226 	1966 	-7 	-7 	1335 	-24 
A,DSP_I,BAL_TRD,T,PT	124 	3 	1276 	236 	-6810 	-145 
A,DSP_I,BAL_TRD,T,RO	0 d	0 d	0 d	0 d	-284 d	-141 d
A,DSP_I,BAL_TRD,T,SE	-1119 	814 	-7347 	974 	4197 	: 
A,DSP_I,BAL_TRD,T,SI	47 	1432 	4081 	4903 	27439 	17448 
A,DSP_I,BAL_TRD,T,SK	0 d	0 d	0 d	0 d	-51 d	-189 d
A,DSP_I,BAL_TRD,T,UK	3440 	36278 	-1440 	13162 	: 	: 
A,DSP_I,EXP,T,AT	1117 	2177 	1233 	41106 	11777 	18023 
A,DSP_I,EXP,T,BE	4683 	4037 	12877 	224336 	8942 	3751 
A,DSP_I,EXP,T,BG	0 	0 	0 	1 	3 	: 
