freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF1,THS_T,AT	795 s	400 s	6 s	400 s	400 s	400 s	400 s	400 s	400 s	400 s	400 s	400 s	400 s
A,DSP_I,MF1,THS_T,BE	995 s	1227 s	1459 s	1028 s	598 s	512 s	425 s	381 s	336 s	238 s	140 s	117 s	115 s
A,DSP_I,MF1,THS_T,BG	1 s	2 s	3 s	7 s	12 s	10 s	8 s	5 s	2 s	22 s	42 s	26 s	28 s
A,DSP_I,MF1,THS_T,CY	7 s	7 s	7 s	3 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,THS_T,CZ	17 s	20 s	22 s	21 s	21 s	21 s	22 s	23 s	24 s	23 s	23 s	25 s	26 s
A,DSP_I,MF1,THS_T,DE	6134 s	5676 s	5217 s	4386 s	3555 s	2664 s	1773 s	1262 s	751 s	742 s	733 s	603 s	609 s
A,DSP_I,MF1,THS_T,DK	0 s	0 s	1 s	0 s	0 s	0 s	0 s	1 s	1 s	1 s	0 s	1 s	1 s
A,DSP_I,MF1,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,THS_T,EL	20 s	20 s	20 s	20 s	21 s	13 s	5 s	5 s	5 s	5 s	5 s	2 s	2 s
A,DSP_I,MF1,THS_T,ES	72 s	38 s	5 s	4 s	2 s	5 s	8 s	37 s	66 s	46 s	26 s	45 s	50 s
A,DSP_I,MF1,THS_T,EU27_2020	17481 s	15911 s	14341 s	13030 s	11324 s	9400 s	7475 s	6260 s	5045 s	4861 s	4676 s	3925 s	3660 s
A,DSP_I,MF1,THS_T,FI	189 s	238 s	288 s	274 s	260 s	135 s	9 s	11 s	12 s	18 s	24 s	8 s	8 s
A,DSP_I,MF1,THS_T,FR	4459 s	4232 s	4006 s	3621 s	3236 s	2903 s	2570 s	2301 s	2032 s	2076 s	2121 s	1440 s	1172 s
A,DSP_I,MF1,THS_T,HR	14 s	7 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,THS_T,HU	11 s	10 s	9 s	9 s	9 s	9 s	10 s	10 s	10 s	12 s	13 s	12 s	12 s
A,DSP_I,MF1,THS_T,IE	21 s	10 s	0 s	0 s	0 s	0 s	0 s	1 s	2 s	1 s	0 s	0 s	0 s
A,DSP_I,MF1,THS_T,IT	2207 s	2066 s	1925 s	1929 s	1932 s	1472 s	1012 s	669 s	326 s	215 s	105 s	141 s	135 s
A,DSP_I,MF1,THS_T,LT	0 s	0 s	0 s	0 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	1 s	2 s
A,DSP_I,MF1,THS_T,LU	74 s	76 s	78 s	39 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,THS_T,LV	0 s	0 s	1 s	1 s	1 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF1,THS_T,MT	7 s	6 s	6 s	6 s	6 s	5 s	5 s	5 s	5 s	5 s	6 s	5 s	5 s
A,DSP_I,MF1,THS_T,NL	2160 s	1561 s	962 s	865 s	769 s	782 s	796 s	749 s	703 s	762 s	822 s	746 s	739 s
A,DSP_I,MF1,THS_T,PL	172 s	163 s	155 s	275 s	396 s	334 s	273 s	271 s	270 s	202 s	134 s	251 s	253 s
A,DSP_I,MF1,THS_T,PT	12 s	15 s	18 s	11 s	5 s	5 s	6 s	6 s	7 s	8 s	9 s	7 s	8 s
A,DSP_I,MF1,THS_T,RO	60 s	79 s	98 s	70 s	41 s	50 s	58 s	55 s	51 s	51 s	51 s	49 s	49 s
A,DSP_I,MF1,THS_T,SE	9 s	8 s	7 s	8 s	10 s	35 s	61 s	37 s	13 s	12 s	10 s	27 s	29 s
A,DSP_I,MF1,THS_T,SI	3 s	4 s	4 s	4 s	4 s	4 s	4 s	3 s	3 s	3 s	4 s	4 s	4 s
A,DSP_I,MF1,THS_T,SK	44 s	45 s	47 s	46 s	46 s	37 s	29 s	27 s	25 s	16 s	8 s	14 s	14 s
A,DSP_I,MF1,T_HAB,AT	0.095 s	0.048 s	0.001 s	0.047 s	0.047 s	0.046 s	0.046 s	0.045 s	0.045 s	0.045 s	0.045 s	0.045 s	0.044 s
A,DSP_I,MF1,T_HAB,BE	0.091 s	0.111 s	0.131 s	0.092 s	0.053 s	0.045 s	0.038 s	0.033 s	0.029 s	0.021 s	0.012 s	0.01 s	0.01 s
A,DSP_I,MF1,T_HAB,BG	0 s	0 s	0 s	0.001 s	0.002 s	0.001 s	0.001 s	0.001 s	0 s	0.003 s	0.006 s	0.004 s	0.004 s
