Data extracted on 02/01/2024 14:44:23 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;GDP and main components (output, expenditure and income) [nama_10_gdp__custom_9172748];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;20/12/2023 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Chain linked volumes, index 2010=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
National accounts indicator (ESA 2010);;Gross domestic product at market prices;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);76,122;;77,464;;79,523;;81,912;;84,328;;87,587;;89,456;;90,399;;91,177;;93,481;;95,236;;98,533;;101,619;;102,269;;97,870;;100,000;;101,875;;101,133;;101,041;;102,649;;104,995;;107,066;;110,108;;112,382;;114,412;;107,970;;114,433;
European Union - 28 countries (2013-2020);75,345;;76,749;;79,045;;81,513;;83,966;;87,158;;89,114;;90,236;;91,415;;93,687;;95,623;;98,804;;101,765;;102,253;;97,884;;100,000;;101,788;;101,363;;101,632;;103,449;;105,827;;107,866;;110,738;;112,888;;114,852;;:;;:;
European Union - 15 countries (1995-2004);76,473;;77,810;;80,126;;82,629;;85,142;;88,365;;90,321;;91,351;;92,402;;94,539;;96,331;;99,339;;102,083;;102,297;;97,833;;100,000;;101,648;;101,121;;101,363;;103,054;;105,264;;107,212;;109,829;;111,649;;113,349;;:;;:;
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);78,072;;79,296;;81,322;;83,719;;86,176;;89,462;;91,277;;92,059;;92,591;;94,659;;96,164;;99,193;;102,057;;102,441;;97,893;;100,000;;101,678;;100,755;;100,504;;101,920;;104,032;;105,965;;108,746;;110,684;;112,434;;105,623;;111,861;
Euro area – 20 countries (from 2023);77,518;;78,781;;80,858;;83,271;;85,700;;88,970;;90,904;;91,744;;92,354;;94,464;;96,045;;99,145;;102,116;;102,546;;97,923;;100,000;;101,684;;100,786;;100,552;;101,944;;104,010;;105,950;;108,734;;110,677;;112,436;;105,611;;111,885;
Euro area - 19 countries  (2015-2022);77,562;;78,815;;80,885;;83,300;;85,741;;89,016;;90,948;;91,772;;92,365;;94,469;;96,039;;99,132;;102,093;;102,515;;97,907;;100,000;;101,692;;100,801;;100,568;;101,969;;104,032;;105,965;;108,746;;110,684;;112,434;;105,623;;111,861;
Euro area - 12 countries (2001-2006);77,918;;79,158;;81,209;;83,618;;86,075;;89,359;;91,277;;92,059;;92,591;;94,659;;96,164;;99,193;;102,053;;102,434;;97,923;;100,000;;101,668;;100,730;;100,480;;101,853;;103,876;;105,783;;108,519;;110,388;;112,084;;105,208;;111,397;
Belgium;73,277;;74,245;;77,062;;78,574;;81,357;;84,381;;85,309;;86,765;;87,666;;90,796;;92,905;;95,276;;98,779;;99,220;;97,215;;100,000;;101,695;;102,446;;102,917;;104,541;;106,675;;108,027;;109,776;;111,745;;114,249;;108,238;;115,654;
Bulgaria;71,111;;74,813;;64,253;;66,687;;61,088;;63,890;;66,333;;70,228;;73,906;;78,718;;84,272;;90,005;;95,994;;101,878;;98,468;;100,000;;102,090;;102,855;;102,296;;103,268;;106,776;;110,008;;113,029;;116,075;;120,759;;115,969;;124,854;
Czechia;67,015;;69,874;;69,512;;69,264;;70,223;;73,032;;75,255;;76,436;;79,175;;82,987;;88,465;;94,452;;99,713;;102,392;;97,623;;100,000;;101,760;;100,962;;100,915;;103,198;;108,759;;111,518;;117,282;;121,059;;124,727;;117,863;;122,051;
Denmark;79,839;;82,155;;84,834;;86,715;;89,272;;92,617;;93,379;;93,814;;94,180;;96,693;;98,953;;102,825;;103,760;;103,228;;98,163;;100,000;;101,337;;101,566;;102,514;;104,174;;106,615;;110,075;;113,181;;115,433;;117,157;;114,317;;122,141;
Germany;83,658;;84,332;;85,843;;87,572;;89,225;;91,823;;93,367;;93,183;;92,530;;93,617;;94,302;;97,901;;100,815;;101,783;;95,988;;100,000;;103,925;;104,360;;104,817;;107,133;;108,731;;111,156;;114,135;;115,255;;116,495;p;112,037;p;115,581;p
Estonia;52,799;;55,409;;62,640;;65,359;;65,081;;71,646;;75,948;;81,090;;87,253;;93,190;;102,068;;112,035;;120,526;;114,341;;97,614;;100,000;;107,263;;110,726;;112,341;;115,724;;117,868;;121,587;;128,630;;133,497;;138,882;;137,541;;147,512;
