Dataset: ;Municipal waste by waste management operations [env_wasmun];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;21/08/2023 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waste management operations;;Recycling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);37.221;s;42.444;s;46.959;s;50.109;s;55.732;s;60.174;s;62.744;s;67.437;;67.560;;68.997;s;71.598;s;74.239;s;79.817;;83.147;;83.803;;84.314;;85.457;;87.853;;87.813;;91.946;;95.798;;100.798;;102.931;;103.607;;106.274;s;113.987;s;114.726;s
Belgium;883;;1.151;;1.599;;1.927;;2.168;;2.400;;2.421;;2.566;;2.553;;2.708;;2.810;;2.872;;2.977;;2.707;;2.719;;2.726;;2.732;;2.638;;2.570;;2.560;;2.484;;2.541;;2.517;;2.542;;2.613;;4.318;b;4.861;
Bulgaria;0;;0;;0;;776;e;769;e;775;e;770;e;770;e;774;e;793;e;822;e;839;e;858;e;871;e;887;e;1.003;;979;;841;;894;;736;;884;;917;;1.065;;901;;1.065;s;997;;861;
Czechia;0;;0;;0;;17;;29;;30;;24;;26;;26;;155;be;182;e;224;e;307;e;330;e;409;e;527;e;569;e;750;e;782;e;829;e;992;e;1.202;e;1.660;b;1.691;;1.777;;2.354;;2.597;
Denmark;688;be;1.205;;1.098;;1.130;;1.296;;1.315;;1.270;;1.342;;1.479;;1.542;;1.637;;1.680;;1.906;;2.186;;2.051;e;:;;2.036;b;1.914;;1.975;;2.069;;2.214;;2.300;;2.251;;2.352;;2.528;;2.135;p;2.592;
Germany;20.062;s;22.172;s;23.801;s;24.168;s;26.781;s;27.732;s;27.236;s;29.590;;28.676;;27.339;;28.367;;28.826;;30.264;;30.834;;30.592;;30.774;;31.633;;32.460;;31.630;;33.544;;34.453;;34.958;;34.784;;33.723;;33.735;e;37.467;p;34.966;
Estonia;3;;1;;1;;1;;0;;14;;26;;15;;85;;150;;133;;93;;139;;106;b;95;;73;;93;;71;;68;;146;;134;;138;;145;;150;;151;;147;;159;
Ireland;:;;:;;:;;167;;:;;271;;306;;497;;690;;885;;946;;1.119;;1.160;;1.084;;990;;1.017;;1.018;;985;;:;;1.043;;:;;1.125;;1.118;;1.097;;1.153;b;1.310;;:;
Greece;:;;:;;360;;363;;378;;391;;402;;407;;382;;483;;573;;632;;1.002;;897;;973;;1.014;;992;;927;;834;;820;;833;;925;;1.022;;1.110;;1.180;;:;;:;
