Dataset: ;Municipal waste by waste management operations [env_wasmun];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;21/08/2023 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waste management operations;;Waste generated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;
GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);197.988;s;203.193;s;209.147;s;208.514;s;214.100;s;220.073;s;218.816;s;221.585;s;217.022;s;216.689;;220.275;;223.929;;226.623;;227.486;;224.543;;222.009;;219.839;;214.974;;211.487;;211.861;;213.409;;219.562;;222.497;;223.105;;225.336;s;233.199;s;235.433;s
Belgium;4.613;;4.567;;4.650;;4.603;;4.702;;4.831;;4.802;;4.981;;4.824;;5.059;;5.052;;5.115;;5.243;;5.141;;5.042;;4.972;;5.023;;4.944;;4.867;;4.762;;4.643;;4.746;;4.672;;4.677;;4.779;;8.408;b;8.753;
Bulgaria;5.838;;5.165;;4.809;;4.880;;4.910;;4.998;;4.773;;4.715;;4.690;;4.619;b;4.502;;4.387;;4.172;;4.486;;4.449;;4.094;;3.732;;3.364;;3.135;;3.192;;3.011;;2.881;;3.080;;2.862;;3.080;s;2.829;;3.058;
Czechia;3.120;;3.200;;3.280;;3.017;;3.365;;3.434;;2.798;b;2.845;;2.857;;2.841;;2.954;;3.039;;3.025;;3.176;;3.310;;3.334;;3.358;;3.233;;3.228;;3.261;;3.337;;3.580;;5.177;b;5.248;;5.338;;5.814;;5.991;
Denmark;2.725;be;3.253;;3.104;;3.141;;3.329;;3.546;;3.519;;3.568;;3.618;;3.757;;3.990;;4.021;;4.313;;4.560;;4.206;e;:;;4.803;b;4.508;;4.564;;4.558;;4.671;;4.757;;4.728;;4.715;;4.907;;4.744;;4.503;
Germany;50.894;s;52.544;s;53.966;s;53.058;s;52.373;s;52.810;s;52.075;s;52.772;;49.622;;48.434;;46.555;;46.426;;47.887;;48.367;;48.466;;49.237;;50.237;;49.759;;49.570;;51.102;;51.625;;52.133;;51.790;;50.260;;50.612;e;53.322;;51.586;
Estonia;533;;565;;593;;557;;569;;633;b;509;b;553;;567;;606;;587;;536;;602;;524;;452;;406;b;399;;371;;386;;470;b;473;;494;;514;;535;;490;;509;;525;
Ireland;1.848;;1.898;;2.000;;2.057;;2.168;;2.279;;2.704;;2.720;;2.918;b;3.001;;3.041;;3.385;;3.398;;3.224;;2.953;;2.846;;2.823;;2.693;;:;;2.619;b;:;;2.763;;2.768;;2.912;;3.086;;3.210;b;:;
Greece;3.200;;3.600;;3.900;;4.082;;4.264;;4.447;;4.559;;4.640;;4.710;;4.782;;4.853;;4.927;;5.002;;5.077;;5.154;;5.917;;5.586;;5.463;;5.284;;5.315;;5.277;;5.367;;5.415;;5.523;;5.613;;:;;:;
Spain;20.076;;21.125;;22.174;;22.423;;24.470;;26.505;;26.616;;26.404;;27.270;;25.746;;25.683;;26.209;;26.154;;25.317;;25.108;;23.774;;22.672;;21.896;;21.184;;20.836;;21.158;;21.542;;22.018;;22.229;;22.262;;21.989;;22.374;e
France;28.253;;28.950;;29.677;;30.449;;30.612;;31.232;;32.198;;32.684;;31.400;;32.444;;33.347;;33.962;e;34.577;;34.501;e;34.426;;34.609;e;34.790;;34.484;e;34.176;;34.260;e;34.344;;36.891;e;37.357;e;37.380;e;37.407;e;36.370;e;38.272;p
Croatia;:;;:;;1.015;e;:;;:;;1.173;e;:;;:;;:;;1.311;e;1.449;e;1.654;;1.719;;1.788;;1.743;;1.630;;1.645;;1.670;;1.721;;1.637;;1.654;;1.680;;1.716;;1.768;;1.812;;1.693;;1.767;
Italy;25.780;;25.960;;26.605;;26.846;;28.364;;28.959;;29.409;;29.864;;30.035;;31.150;;31.668;;32.516;;32.536;;32.461;;32.107;;32.440;;31.386;;29.994;;29.573;;29.652;;29.524;;30.112;;29.572;;30.165;;30.023;;28.945;;29.254;
Cyprus;387;;400;;411;;418;;426;;436;;456;;465;;481;;498;;508;;522;;540;;573;;589;;576;;575;;574;;532;;513;;525;;539;;537;;562;;571;;543;;570;p
Latvia;657;e;650;e;621;e;597;e;613;e;642;e;713;e;793;b;695;;720;;716;;760;;861;;752;;753;;680;;721;;658;;704;;726;;798;;802;;798;;785;;840;;909;;869;
Lithuania;1.546;;1.445;;1.510;;1.578;;1.236;b;1.276;;1.313;;1.395;;1.328;;1.260;;1.287;;1.326;;1.354;;1.369;;1.206;;1.253;;1.339;;1.330;;1.280;;1.270;;1.300;;1.272;;1.286;;1.301;;1.319;;1.350;;1.345;
Luxembourg;240;;242;;253;;266;;278;;285;;285;;291;;306;;311;;313;;323;;333;;341;;338;;344;;345;;346;;335;;348;;346;;474;b;476;;488;;491;e;498;;508;
Hungary;4.752;;4.834;;5.016;;4.976;;4.943;;4.552;b;4.603;;4.646;;4.700;;4.592;;4.646;;4.711;;4.594;;4.553;;4.312;;4.033;;3.809;;3.988;;3.738;;3.795;;3.712;;3.721;;3.768;;3.729;;3.780;;3.931;;4.042;
Malta;146;e;156;e;167;e;177;e;181;;208;;212;;214;;231;;254;;253;;270;;275;;282;;277;;258;;259;;257;;257;;273;;285;;292;;312;;326;;351;;331;;317;
Netherlands;8.337;;8.565;;8.986;;9.069;;9.205;;9.529;;9.550;;9.684;;9.504;;9.746;;9.769;;9.761;;9.922;;9.868;;9.738;;9.484;;9.479;;9.203;;8.840;;8.894;;8.866;;8.861;;8.792;;8.806;;8.806;;9.304;;9.023;
Austria;3.476;;4.110;b;4.241;;4.240;;4.496;;4.646;;4.634;;4.914;;4.932;;4.687;;4.732;;4.933;;4.951;;4.997;;4.921;;4.701;;4.807;;4.883;;4.905;;4.833;;4.836;;4.928;;5.018;;5.119;;5.220;;7.438;b;7.476;
Poland;10.985;;11.621;;12.183;;11.827;;12.317;;12.226;;11.109;;10.509;;9.925;;9.759;;12.169;be;12.235;e;12.264;e;12.194;e;12.053;e;12.032;e;12.129;e;12.084;e;11.295;be;10.330;be;10.863;e;11.654;e;11.969;e;12.485;;12.753;;13.117;;13.674;
Portugal;3.529;;3.740;;4.013;;4.198;;4.427;;4.705;;4.709;;4.595;b;4.693;;4.665;;4.745;;4.898;;4.967;b;5.472;;5.496;;5.457;;5.178;;4.766;;4.598;;4.710;;4.769;b;4.891;;5.007;;5.213;;5.281;;5.279;;5.311;
Romania;7.758;;7.375;;7.347;;6.246;;7.066;;7.961;e;7.539;e;8.365;e;7.611;e;7.483;e;8.173;e;8.392;e;8.161;e;8.439;e;7.768;e;6.343;b;5.216;;5.044;;5.071;;4.956;;4.904;;5.143;;5.333;;5.296;;5.430;;5.588;p;5.768;p
Slovenia;1.186;;1.175;e;1.170;e;1.159;;1.090;e;1.020;e;953;;812;b;834;;969;;989;;1.036;;1.060;;1.095;;1.069;;1.004;;852;;744;;853;b;892;;926;;943;;974;;1.009;;1.052;;1.024;;1.077;
Slovakia;1.580;;1.479;;1.477;;1.396;;1.408;;1.369;;1.286;;1.449;b;1.511;;1.400;;1.468;;1.524;;1.579;;1.686;;1.654;;1.719;;1.679;;1.657;;1.645;;1.733;;1.784;;1.890;;2.058;;2.254;;2.299;;2.612;;2.705;
Finland;2.109;;2.100;;2.300;;2.400;;2.500;;2.600;;2.412;;2.384;;2.428;;2.453;;2.506;;2.600;;2.675;;2.768;;2.562;;2.519;;2.719;;2.738;;2.682;;2.630;;2.738;;2.768;;2.812;;3.041;;3.123;;3.370;;3.491;
Sweden;3.405;;3.458;;3.678;;3.839;;3.774;;3.773;;3.907;;4.149;;4.159;;4.143;;4.321;;4.461;;4.460;;4.476;;4.390;;4.140;;4.278;;4.324;;4.371;;4.295;;4.422;;4.439;;4.551;;4.416;;4.611;;4.460;b;4.352;
Iceland;114;;117;;120;;123;;126;;130;;133;;137;;140;;147;;153;;171;;174;;208;;132;;154;;158;;164;;167;;175;;195;;220;;225;;247;;:;;225;;246;
Norway;2.722;;2.761;;2.721;;2.858;;2.650;;2.755;;1.629;b;1.780;;1.836;;1.903;;1.968;;2.140;;2.312;;2.324;;2.269;;2.295;;2.403;;2.392;;2.518;;2.175;b;2.187;;3.946;b;3.949;;3.927;;4.151;;3.247;b;4.320;
Switzerland;4.240;;4.280;;4.294;;4.369;;4.555;;4.731;;4.794;;4.936;;4.916;;4.900;;4.940;;5.330;;5.465;;5.653;;5.461;;5.565;;5.478;;5.576;;5.708;;6.006;;6.030;;6.050;;5.992;;6.012;;6.079;;6.096;;6.130;
United Kingdom;28.900;;29.750;;31.042;;31.697;;33.392;;33.954;;34.945;;35.532;;35.279;;36.121;;35.121;;35.479;;34.780;;33.424;;32.507;;31.955;;31.066;;30.413;;30.890;;31.129;;31.475;;31.710;;30.912;;30.786;;:;;:;;:;
Bosnia and Herzegovina;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;1.367;;1.362;;1.276;;1.307;;1.303;;1.192;;1.335;;1.249;;1.244;;1.235;;1.244;;1.228;;1.206;e;1.229;e
Montenegro;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;326;e;308;e;310;e;298;e;310;e;307;e;305;e;321;e;339;e;302;e;319;e
