Country;Year;Year;Country;Waste_rate;recycling_rate;gdp;higher_education;population;life_expectancy;energy_consumption_in_households;export;import;recycling_percent;geo_long;geo;Waste_Category;Recycling_Category
Austria;2011;2011;Austria;4807.0;2724.0;102.923;76.9;8391643.0;73.9;781.0;40277.2;33219.5;56.67;Austria;AT;Waste_rate-Bin 9;recycling_rate-Bin 8
Austria;2012;2012;Austria;4883.0;2818.0;103.623;77.6;8429991.0;74.4;792.0;42441.8;34802.7;57.71;Austria;AT;Waste_rate-Bin 9;recycling_rate-Bin 8
Austria;2013;2013;Austria;4905.0;2829.0;103.65;77.8;8479823.0;74.5;815.0;43222.2;34311.1;57.68;Austria;AT;Waste_rate-Bin 9;recycling_rate-Bin 8
Austria;2014;2014;Austria;4833.0;2723.0;104.335;79.7;8546356.0;75.0;730.0;44510.9;34113.3;56.34;Austria;AT;Waste_rate-Bin 9;recycling_rate-Bin 8
Austria;2015;2015;Austria;4836.0;2752.0;105.393;80.4;8642699.0;74.9;767.0;45580.3;35135.8;56.91;Austria;AT;Waste_rate-Bin 9;recycling_rate-Bin 8
Austria;2016;2016;Austria;4928.0;2838.0;107.49;80.4;8736668.0;75.7;792.0;44576.5;33965.8;57.59;Austria;AT;Waste_rate-Bin 9;recycling_rate-Bin 8
Austria;2017;2017;Austria;5018.0;2898.0;109.918;80.7;8797566.0;75.7;791.0;46906.0;37831.0;57.75;Austria;AT;Waste_rate-Bin 10;recycling_rate-Bin 8
Austria;2018;2018;Austria;5119.0;2952.0;112.584;81.1;8840521.0;75.7;739.0;49076.3;39731.5;57.67;Austria;AT;Waste_rate-Bin 10;recycling_rate-Bin 8
Austria;2019;2019;Austria;5220.0;3040.0;114.217;81.3;8879920.0;75.9;753.0;51280.2;39288.7;58.24;Austria;AT;Waste_rate-Bin 10;recycling_rate-Bin 9
Austria;2020;2020;Austria;7438.0;4632.0;106.641;81.3;8916864.0;75.9;781.0;46470.1;34868.8;62.27;Austria;AT;Waste_rate-Bin 14;recycling_rate-Bin 13
Austria;2021;2021;Austria;7476.0;4670.0;111.16;81.5;8955797.0;75.9;856.0;53002.0;43879.5;62.47;Austria;AT;Waste_rate-Bin 14;recycling_rate-Bin 13
Belgium;2011;2011;Belgium;5023.0;2732.0;101.695;68.1;11038264.0;73.8;727.0;119435.4;128292.0;54.39;Belgium;BE;Waste_rate-Bin 10;recycling_rate-Bin 8
Belgium;2012;2012;Belgium;4944.0;2638.0;102.446;68.6;11106932.0;74.3;765.0;128548.3;129413.8;53.36;Belgium;BE;Waste_rate-Bin 10;recycling_rate-Bin 7
Belgium;2013;2013;Belgium;4867.0;2570.0;102.917;69.6;11159407.0;74.6;818.0;131923.6;132139.8;52.8;Belgium;BE;Waste_rate-Bin 9;recycling_rate-Bin 7
Belgium;2014;2014;Belgium;4762.0;2560.0;104.541;70.5;11209057.0;74.8;666.0;134149.1;136307.4;53.76;Belgium;BE;Waste_rate-Bin 9;recycling_rate-Bin 7
Belgium;2015;2015;Belgium;4643.0;2484.0;106.675;71.3;11274196.0;74.4;731.0;132771.6;143210.3;53.5;Belgium;BE;Waste_rate-Bin 9;recycling_rate-Bin 7
